schema_version,timestamp,topic,batch_id,batch_size,creator_count,qualifying_video_count,total_views,total_likes,total_comments,total_engagement,mean_view_rate,median_view_rate,mean_creator_views_rate,median_creator_views_rate,mean_creator_authority,median_creator_authority,max_creator_authority,expected_views_rate_mean,expected_views_rate_median,delta_hours,decay_factor,topic_rate_batch,topic_rate,er_batch,er_norm,er_low,er_high,pr_batch,pr_norm,pr_low,pr_high,supply_batch,supply,supply_norm,supply_low,supply_high,demand_batch,demand,demand_norm,gap_score
1.0,2026-09-16T20:15:02.013573Z,Tokyo Game Show,tokyo_game_show_20260916T201502Z_8470351b,13,12,13,32641,951,60,1011,4561.50180876058,1.0053009594991964,54.771464930598064,2.6904339591617386,0.012007331623413924,0.0005898131956025577,0.08090418316471708,54.771464930598064,2.6904339591617386,0.0,1.0,4561.50180876058,4561.50180876058,0.030973315767563084,0.3650915185992143,0.0,2000000.0,548.2863069774653,0.8901637531474671,0.0,6566.0340517984005,0.15609531110438102,0.4550209179231629,0.4550209179231629,2.6808676425611887e-06,0.08090418316471708,0.6276276358733407,0.6276276358733407,0.6276276358733407,0.34204393288430857
1.0,2026-09-16T20:45:12.356985Z,Tokyo Game Show,tokyo_game_show_20260916T204512Z_84ed323f,20,18,20,34901,979,68,1047,1687.3807555249357,2.432107496306044,41.228937146211244,3.00684774095608,0.00920449486782821,0.0006712885782580605,0.08212565436605686,41.228937146211244,3.00684774095608,0.50287317,0.9713707183072704,1687.3807555249357,4479.217787508493,0.029999140424916217,0.36378073883906875,0.0,2028629.2816927298,340.1133176509437,0.8695894857570239,0.0,6472.817624734647,0.1840898973565642,0.4559147790009176,0.4559147790009176,2.7392804745973546e-06,0.08070734305225524,0.6166851122980463,0.6273143592834742,0.6273143592834742,0.34131247180664687
1.0,2026-09-16T21:15:26.449155Z,Tokyo Game Show,tokyo_game_show_20260916T211526Z_d3af22fb,23,21,23,36528,1003,71,1074,1034.976555435209,1.9984864920538916,40.43755118279616,2.8797796839300176,0.009231452636265314,0.0006574223457524609,0.08369484088209395,40.43755118279616,2.8797796839300176,0.5039144916666667,0.9713122929917675,1034.976555435209,4380.410404177101,0.02940210249590993,0.3625448030839285,0.0,2113871.09427237,270.2861365969056,0.8600058405241007,0.0,6373.524537651135,0.21232341063410223,0.45667045273742973,0.45667045273742973,2.7851728611667513e-06,0.0805554471765165,0.6112753218040146,0.6268542360755694,0.6268542360755694,0.34058842828656355
1.0,2026-09-16T21:45:42.247494Z,Tokyo Game Show,tokyo_game_show_20260916T214542Z_4afa5e10,27,25,27,37946,1031,75,1106,693.6471402263513,2.2984820338136664,34.68623120232043,2.640820559256376,0.00811459703524082,0.0006178011832923269,0.08547820938185906,34.68623120232043,2.640820559256376,0.5043884275,0.9712857030919054,693.6471402263513,4274.547589186162,0.029146682126465328,0.3615819500454595,0.0,2225458.553494562,233.9832560480865,0.8541972702478408,0.0,6276.520480773114,0.21909411995150213,0.45694652434657035,0.45694652434657035,2.832706732850406e-06,0.08045394644566055,0.6078896101466501,0.6263096801758955,0.6263096801758955,0.34011964865490796
1.0,2026-09-16T22:16:00.305607Z,Tokyo Game Show,tokyo_game_show_20260916T221600Z_b6e7f998,33,31,33,39586,1062,78,1140,514.168140650267,3.959947032144493,28.910849847381552,1.26924580872094,0.006938983923951068,0.0003046356751444491,0.08739719169249963,28.910849847381552,1.26924580872094,0.5050161425,0.9712504866200238,514.168140650267,4166.438509916692,0.02879805991944632,0.3608710359836206,0.0,2276475.7565541924,2955.3070545041037,0.9668438816466817,0.0,6242.799231022681,0.22898646949038523,0.45674521674797053,0.45674521674797053,2.8356363356409932e-06,0.08015463308561557,0.6638574588151511,0.6273891605402732,0.6273891605402732,0.3408321624239788
1.0,2026-09-16T22:46:23.137931Z,Tokyo Game Show,tokyo_game_show_20260916T224623Z_f9bf098d,38,35,38,48338,1384,126,1510,809.2919654491849,9.248699380155376,105.41427395654154,2.8946632869369022,0.02590239781499239,0.0007112767292748617,0.7221401430403643,105.41427395654154,2.8946632869369022,0.5063423122222223,0.97117608918911,809.2919654491849,4069.6724173398734,0.031238363191873095,0.3634538321834438,0.0,2326154.465627681,2073.966668750551,0.951433618704895,0.0,6199.866634362084,0.9842911169697108,0.45798761917382547,0.45798761917382547,2.840496915316062e-06,0.08041542810664667,0.6574437254441694,0.6282554506385232,0.6282554506385232,0.3405222325676071
1.0,2026-09-16T23:16:46.368634Z,Tokyo Game Show,tokyo_game_show_20260916T231646Z_c7f7fa99,49,40,49,55724,1736,153,1889,548.5045141527204,4.096511399598247,83.26585827951314,1.2606112806028498,0.02098351046620339,0.00031768182718477136,0.7369735930496968,83.26585827951314,1.2606112806028498,0.5064529730555556,0.9711698814315903,548.5045141527204,3968.156729191709,0.03389921757171238,0.3662175211866368,0.0,2345581.5122804283,1007.1142759014937,0.9201502378461702,0.0,6086.356130377385,1.028192012843966,0.4589568078118914,0.4589568078118914,2.8959673687512772e-06,0.08046293334224375,0.6431838795164035,0.6286858390131125,0.6286858390131125,0.34014619322311374
1.0,2026-09-16T23:47:16.109138Z,Tokyo Game Show,tokyo_game_show_20260916T234716Z_0a1c237f,50,35,50,21883,1041,108,1149,331.9231503669602,4.180382889468332,96.65255712507643,5.107297594362969,0.02502036935786252,0.0013221220010363295,0.7531849491297361,96.65255712507643,5.107297594362969,0.5082612511111111,0.9710684478054403,331.9231503669602,3862.95484761433,0.052506511901818466,0.38197218651715087,0.0,2277720.227262841,644.8709737708201,0.9015065040977872,0.0,5914.880136657932,1.251018467893126,0.4624043929600464,0.4624043929600464,3.071085169872206e-06,0.07902914903102196,0.641739345307469,0.6290634972117897,0.6290634972117897,0.3381817726502483
1.0,2026-09-17T00:17:44.564080Z,Tokyo Game Show,tokyo_game_show_20260917T001744Z_24934f62,49,36,49,26570,1633,150,1783,337.80662923531986,9.739262484753365,103.46454072120386,3.081470289291901,0.02750957471835297,0.0008193139076901896,0.7698452787638226,103.46454072120386,3.081470289291901,0.5079041505555556,0.9710884781796578,337.80662923531986,3761.0374479787247,0.06710575837158052,0.39099719864571225,0.0,2211867.9109727726,528.7044125845341,0.8937835505326315,0.0,5752.701947943179,1.3479691611992954,0.46565527164747894,0.46565527164747894,3.6421576329191274e-06,0.0825373475664878,0.6423903745891719,0.6294487975178829,0.6294487975178829,0.3363426467215142
1.0,2026-09-17T00:48:10.303737Z,Tokyo Game Show,tokyo_game_show_20260917T004810Z_79e28fa1,49,36,49,36732,2189,183,2372,1007.8008118817257,6.433874582727294,107.17798971723188,3.2072945912261757,0.029112162757418646,0.0008711796367622378,0.7836258898710781,107.17798971723188,3.2072945912261757,0.5071499047222222,0.9711307864622478,1007.8008118817257,3681.553671611278,0.06457584667144245,0.3899552531226269,0.0,2162447.6451370735,41.270991958743494,0.7812730177718249,0.0,5594.204003083764,1.4264959751135138,0.46909586552418325,0.46909586552418325,4.20042399930339e-06,0.08602104226242534,0.585614135447226,0.6281833252982099,0.6281833252982099,0.33350512460958653
